Task layer training log
Experiment 0 configuration: Experiment 0 checks whether observable 0 has value 0 and whether observable 1 has value 0

Round 499 | Accuracy: 0.5540 | Weighted Accuracy: 0.7480
Round 999 | Accuracy: 0.6340 | Weighted Accuracy: 0.8041
Round 1499 | Accuracy: 0.6680 | Weighted Accuracy: 0.8134
Round 1999 | Accuracy: 0.7600 | Weighted Accuracy: 0.8600
Round 2499 | Accuracy: 0.8160 | Weighted Accuracy: 0.8952
Round 2999 | Accuracy: 0.8800 | Weighted Accuracy: 0.9157
Round 3499 | Accuracy: 0.9040 | Weighted Accuracy: 0.9494
Round 3999 | Accuracy: 0.9400 | Weighted Accuracy: 0.9656
Round 4499 | Accuracy: 0.9820 | Weighted Accuracy: 0.9893
Round 4999 | Accuracy: 0.9780 | Weighted Accuracy: 0.9881
Round 5499 | Accuracy: 0.9880 | Weighted Accuracy: 0.9933
Round 5999 | Accuracy: 0.9920 | Weighted Accuracy: 0.9954
Round 6499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 6999 | Accuracy: 0.9960 | Weighted Accuracy: 0.9977
Round 7499 | Accuracy: 0.9920 | Weighted Accuracy: 0.9956
Round 7999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 8499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 8999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 9499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 9999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 10499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 10999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 11499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 11999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 12499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 12999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9910
Round 13499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 13999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 14499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 14999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 15499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9911
Round 15999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 16499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 16999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 17499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 17999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 18499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 18999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 19499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 19999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 20499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 20999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 21499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 21999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 22499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 22999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 23499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 23999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 24499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9990
Round 24999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 25499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 25999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 26499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 26999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9920
Round 27499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 27999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 28499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9912
Round 28999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 29499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 29999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9909
Round 30499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 30999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 31499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 31999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 32499 | Accuracy: 0.9960 | Weighted Accuracy: 0.9904
Round 32999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 33499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9912
Round 33999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 34499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 34999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 35499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 35999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 36499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 36999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 37499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 37999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 38499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 38999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 39499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 39999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 40499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 40999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 41499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 41999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 42499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9911
Round 42999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 43499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 43999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 44499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 44999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 45499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 45999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9917
Round 46499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 46999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 47499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 47999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 48499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 48999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 49499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 49999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
